"Pax6" "Mash1" "Zic1" "Brn2" "Tuj1" "Hes5" "Scl" "Olig2" "Stat3" "Aldh1L" "Myt1L" "Sox8"
"cell_1" 6 0 0 0 0 0 0 0 0 0 0 0
"cell_2" 5.98389567235741 0.0413632719049226 -0.000957844692512602 0.0417439281728944 -0.000314336693641359 0.0330025139193161 0.0346565175602383 0.00297635441368483 -0.0137803142303752 0.0254286711065171 -0.0101023425156417 -0.00340763063928661
"cell_3" 5.98019162267468 0.0876746655015678 -0.0383608617412791 0.0397824952639476 0.00416727852151015 0.0458780735938347 0.0131209765449664 0.0318426814719549 -0.051945474362444 0.0443180257423462 -0.00871750808041865 -0.00160477295212682
"cell_4" 5.9784687905789 0.124878220354488 -0.0488296732942803 0.0370492300153542 -0.0142626365378616 0.0748255368737923 -0.00696429881826345 0.0477310306284947 -0.0719857269146858 0.0472369567623825 0.000382633261169683 0.00840596344513143
"cell_5" 5.97109354514079 0.12637146782495 -0.0554328212714375 0.0511616266925109 -0.0279334577523792 0.072730964800784 -0.0123943417365682 0.0469771397664067 -0.0823041954986578 0.0480869641126413 -0.00217367003633211 0.00572209923936683
"cell_6" 5.98230026423775 0.132991613028122 -0.0141277414898341 0.0333261691969215 -0.059770502215497 0.122497231030626 -0.0300767778449651 0.0299519538347222 -0.0817736385021872 0.0416565123691741 -0.0328913803506507 0.0291108875883269
"cell_7" 5.97071120754604 0.163510382946721 0.0175456735436735 0.0422200263047834 -0.0543876782822155 0.176989547387198 -0.0292270223991677 0.0348678917376746 -0.0585280426010008 0.0415550554984139 -0.0220651091761629 -0.00413694953688445
"cell_8" 5.99218837738669 0.207063312409662 0.0236935529925768 0.0357539026783809 -0.023096187042755 0.230903910693772 -0.00984019373089644 -0.0027230737399366 -0.0640228805686933 0.0457372382270018 -0.0102878368807128 -0.0052894556633372
"cell_9" 5.96970000723421 0.231783191271087 0.0367522283404808 0.0435748838312512 -0.0210184467103525 0.283765011096761 0.00472462441967059 -0.0187101168516094 -0.0660387435569915 0.0342274504682595 -0.00701455537611149 -0.0231428033864612
"cell_10" 5.97360171063721 0.282136015718733 0.039729908840475 0.0659152642657795 0.0114194531642808 0.306324018717 0.00558136924344397 -0.00432387389100181 -0.0650643299637448 0.0214177089034732 0.00470766125501641 -0.0313385049969712
"cell_11" 5.9747553662006 0.292949633317101 0.0165658462749097 0.0565226765063862 0.0313535457791447 0.309064443094889 0.0217689169899017 -0.00210969633925788 -0.0713258754751563 -0.00548652391266638 0.0116487194469237 -0.0463175421014923
"cell_12" 6.00511678488549 0.335955000371129 0.0234992985015033 0.0639348764076659 0.0264162134471349 0.312834316779439 0.0495650725720094 -0.0110824547380782 -0.0542587296833398 -0.0122710399665757 -0.0197364865231119 -0.0244608594629121
"cell_13" 5.98747343141511 0.380832653667728 0.0203655525447703 0.0358295344518365 0.0261967843092427 0.314654448228939 0.045459730936451 -0.0242535662844974 -0.0304694389305527 0.00981196115084228 -0.0135027894722805 -0.0246044678857288
"cell_14" 5.98942036451052 0.411970918764845 0.043869367252058 0.0354490305442972 0.0104476765855455 0.330406327811957 0.0883647520321372 -0.0448789363303242 -0.0263032798338785 0.0393509347961796 0.00580008177196751 -0.0397173417801691
"cell_15" 5.95304953733797 0.433532935734095 0.057224925013233 0.0543936087590604 0.0134642694469467 0.369013753988554 0.0921372855573313 -0.0161744096025563 -0.0284685269703833 0.0560975274560271 -0.0104485414438958 -0.0762061412250849
"cell_16" 5.93947148380884 0.454510139618162 0.0742192627400505 0.0526841012491027 0.0193588317137003 0.391044935548264 0.0942532382254647 -0.0103089215228581 -0.0215126492305706 0.0843773883108768 -0.0338624265905255 -0.102742645443322
"cell_17" 5.91524588931177 0.474956187272937 0.0590674866519683 0.0525771762156753 0.0125563126712873 0.436635451249201 0.0888102124503947 -0.0257569679895421 -0.043738043391537 0.0853015612440136 -0.00832196189226544 -0.103993646780764
"cell_18" 5.92622637333655 0.505921576279058 0.0441455392470955 0.0716549448098826 0.0199424784518111 0.48912303779044 0.0681477801899041 -0.0447157067742462 -0.0226894317779723 0.0770198030179769 0.0201509336893924 -0.103637230216736
"cell_19" 5.897280369355 0.511558264152509 0.0358082974565402 0.0742968123813697 -0.00671342895234468 0.529186976791174 0.0764585136711939 -0.0511873194488841 -0.0201213657441948 0.102886039148531 0.00771292145912441 -0.0971001991272114
"cell_20" 5.92766880229046 0.544985040549999 0.0370362972744145 0.0733653456561892 -0.0116821100726128 0.59218313500894 0.0628803381833019 -0.0587534057289194 -0.0232892475286116 0.132423397753313 0.00728609113193136 -0.108139322393421
"cell_21" 5.9229059544528 0.58114247382443 0.0511135438989306 0.0754778917227813 -0.00731612631152139 0.623359003957665 0.0440724596176964 -0.0341988536112921 -0.00614083229507855 0.149357580045004 0.00578138839655003 -0.118144505149366
"cell_22" 5.97288390895673 0.625563740955134 0.0344872368231478 0.0854333765506926 -0.00135098137785355 0.640521862482221 0.033165471991276 -0.0398747038009066 -0.0187771242872095 0.168627237372743 -0.000113465232544701 -0.0830740691561183
"cell_23" 5.95248849407561 0.671800689995201 0.0319450960205021 0.0952583373032873 -0.00972397849792125 0.642400347018419 0.0447519481066415 -0.0204977904283982 0.00767419148542324 0.157507686063448 -0.0269133583757333 -0.0804223313765539
"cell_24" 5.95388109256604 0.692586528460253 0.0356869352099101 0.113250221528069 -0.00950780144292676 0.682162399154644 0.0210447172851135 -0.0178000938059026 0.0318060286064722 0.147305950455893 -0.0321030335426011 -0.0616058285973257
"cell_25" 5.95655587431494 0.689075357882333 0.016829410137147 0.109464175639729 -0.0206381202212835 0.658554197900489 0.0604716145787206 -0.0400506119460343 0.0430349176357384 0.137326332091252 -0.0827545005189246 -0.0531397870457487
"cell_26" 5.94895927444739 0.711841513146693 0.0356603535960421 0.102094227134856 -0.00953594336727134 0.685252616569345 0.0560316190493985 -0.0167522653955354 0.00506120172435986 0.128437036772311 -0.0824298807977232 -0.0275043725714237
"cell_27" 5.93286945988415 0.742523317384008 0.00721614164528546 0.0909020604489625 -0.0302983615828148 0.705368129488433 0.0651528655469472 0.00722994642964553 0.0168637563414917 0.149817723149728 -0.0701345995657136 -0.0230746092929301
"cell_28" 5.94876435639039 0.760572735935797 0.0236065738091156 0.120512820968871 -0.0109701659270269 0.724292938438552 0.0645796648315675 0.0586341860499108 0.0155566279457214 0.136496894532262 -0.0662061696972283 -0.0355861066358383
"cell_29" 5.92486173466366 0.790089832685077 0.0273053259669849 0.127567186233825 -0.0153304600933426 0.76959779158713 0.0772539727080409 0.0717959577178599 0.00261779544457488 0.119271191015513 -0.097288551855401 -0.012337025407181
